,from,to
20096,2378,2397
20097,2378,6052
20098,2378,4395
20099,2378,4717
20100,2378,2814
20101,2378,7027
20102,2378,3147
20093,2378,3397
20103,2378,3448
20105,2378,2773
20106,2378,3213
20107,2378,3109
20108,2378,4687
20109,2378,2822
20110,2378,2625
20111,2378,4565
20112,2378,6772
20068,2378,5541
20104,2378,3246
20092,2378,5326
20114,2378,3584
20090,2378,3009
20071,2378,5434
20072,2378,4890
20073,2378,2495
20074,2378,3543
20075,2378,4710
20076,2378,5353
20077,2378,2423
20078,2378,3303
20079,2378,6024
20080,2378,4680
20081,2378,2544
20082,2378,4543
20083,2378,3761
20084,2378,4388
20085,2378,4685
20086,2378,6275
20087,2378,2382
20088,2378,5132
20070,2378,2580
20089,2378,3733
20091,2378,4240
20214,2379,3132
20213,2379,5904
20215,2379,3994
20211,2379,2550
20210,2379,2842
20212,2379,2686
20216,2380,4488
20217,2380,4457
20218,2380,4981
20232,2381,4905
20231,2381,3521
20230,2381,3298
20229,2381,3139
20228,2381,5024
20226,2381,6188
20227,2381,4092
20224,2381,3196
20219,2381,2912
20220,2381,5145
20221,2381,5364
20225,2381,4262
20223,2381,5212
20222,2381,6354
20259,2382,2905
20258,2382,5242
20257,2382,5225
20247,2382,4388
20255,2382,3167
20254,2382,3653
20253,2382,4356
20252,2382,5210
20251,2382,2616
20250,2382,2602
20249,2382,5256
20248,2382,4762
20256,2382,2457
20246,2382,2956
20244,2382,4680
20233,2382,3753
20245,2382,5190
20235,2382,3582
20236,2382,2576
20237,2382,3307
20234,2382,3888
20239,2382,4617
20241,2382,3500
20242,2382,4245
20243,2382,4758
20238,2382,4010
20240,2382,4503
20260,2383,4878
20261,2383,7115
20262,2384,5077
20266,2385,4809
20263,2385,4590
20264,2385,3226
20265,2385,2882
20268,2386,3473
20267,2386,4924
20269,2387,5840
20270,2387,2548
20271,2387,6564
20272,2388,3070
20273,2389,2637
20274,2389,4606
20275,2389,4416
20276,2389,3761
20277,2390,3226
20281,2391,3506
20280,2391,3857
20278,2391,4528
20279,2391,4199
20282,2392,5364
20283,2393,4057
20284,2393,3256
20293,2394,4049
20298,2394,5293
20297,2394,4983
20296,2394,4828
20295,2394,5136
20294,2394,3724
20292,2394,6980
20287,2394,3216
20290,2394,3491
20289,2394,4068
20288,2394,5425
20286,2394,2454
20285,2394,3862
20291,2394,4240
20308,2395,3638
20313,2395,4416
20312,2395,4586
20311,2395,4406
20310,2395,5265
20309,2395,4988
20307,2395,4928
20302,2395,3226
20305,2395,4179
20304,2395,2572
20303,2395,4708
20301,2395,3161
20300,2395,4603
20299,2395,4590
20306,2395,2584
20314,2396,2497
20376,2397,2590
20377,2397,4677
20378,2397,6493
20382,2397,5219
20380,2397,6904
20381,2397,2930
20375,2397,6724
20383,2397,3592
20379,2397,6649
20374,2397,3697
20370,2397,2580
20372,2397,3354
20371,2397,3210
20369,2397,5271
20368,2397,2787
20367,2397,2463
20366,2397,4298
20365,2397,5049
20364,2397,3348
20384,2397,4826
20373,2397,4754
20385,2397,3723
20408,2397,2406
20387,2397,4614
20363,2397,4530
20407,2397,4635
20406,2397,1675
20405,2397,4054
20404,2397,4321
20403,2397,6990
20402,2397,4513
20401,2397,5392
20400,2397,4239
20399,2397,7104
20398,2397,6784
20397,2397,6563
20396,2397,5936
20395,2397,3101
20394,2397,4654
20393,2397,4762
20392,2397,4388
20391,2397,2691
20390,2397,3747
20389,2397,6044
20388,2397,5190
20386,2397,4543
20362,2397,5367
20343,2397,3956
20360,2397,4051
20334,2397,4194
20361,2397,7023
20332,2397,4472
20331,2397,3779
20330,2397,6434
20329,2397,5150
20328,2397,4719
20327,2397,3765
20326,2397,4717
20335,2397,5754
20325,2397,2425
20323,2397,4500
20322,2397,6778
20321,2397,3930
20320,2397,6352
20319,2397,4263
20318,2397,5344
20317,2397,4846
20316,2397,2414
20315,2397,2625
20324,2397,2487
20336,2397,3275
20333,2397,3686
20338,2397,2443
20359,2397,2683
20358,2397,2824
20357,2397,6822
20356,2397,3587
20355,2397,3877
20354,2397,4522
20337,2397,2706
20352,2397,6032
20351,2397,5129
20350,2397,4290
20353,2397,3617
20348,2397,6711
20349,2397,2193
20340,2397,4625
20341,2397,4355
20342,2397,2798
20339,2397,3470
20344,2397,3036
20345,2397,4356
20346,2397,4288
20347,2397,3161
20409,2398,5131
20410,2398,4881
20411,2399,5113
20412,2400,2584
20413,2401,6386
20423,2402,2975
20422,2402,5106
20421,2402,6688
20420,2402,6504
20419,2402,3826
20414,2402,6917
20417,2402,2576
20416,2402,5036
20415,2402,3403
20418,2402,3641
20424,2403,3862
20425,2403,4847
20426,2403,2463
20435,2404,4827
20434,2404,4008
20433,2404,3233
20432,2404,2963
20436,2404,2808
20430,2404,4514
20429,2404,4819
20428,2404,3048
20427,2404,3862
20431,2404,5281
20437,2405,3123
20438,2405,5161
20439,2405,4678
20448,2406,5352
20447,2406,5198
20446,2406,3190
20445,2406,2584
20442,2406,4036
20443,2406,3370
20441,2406,5349
20440,2406,4051
20444,2406,4812
20449,2407,6698
20452,2408,4388
20450,2408,3397
20451,2408,4592
20455,2409,2420
20454,2409,4255
20453,2409,3794
20456,2410,3032
20457,2410,5307
20458,2410,5106
20459,2410,5022
20541,2411,7036
20542,2411,3412
20543,2411,1242
20544,2411,4729
20545,2411,4585
20546,2411,4434
20548,2411,3610
20540,2411,4579
20549,2411,2784
20550,2411,4875
20551,2411,3616
20552,2411,3364
20547,2411,2533
20539,2411,2431
20537,2411,4271
20553,2411,5183
20536,2411,4106
20535,2411,5015
20534,2411,2814
20533,2411,3190
20532,2411,2605
20531,2411,3906
20530,2411,6540
20529,2411,4939
20528,2411,6535
20527,2411,5243
20526,2411,5002
20525,2411,4561
20538,2411,6076
20554,2411,3436
20575,2411,4769
20556,2411,3439
20585,2411,3297
20584,2411,6889
20583,2411,1934
20582,2411,3117
20581,2411,4005
20580,2411,4279
20579,2411,6593
20578,2411,2962
20577,2411,4002
20576,2411,3243
20524,2411,3918
20574,2411,3473
20573,2411,2505
20555,2411,4003
20572,2411,7000
20570,2411,2874
20569,2411,3570
20568,2411,2895
20567,2411,3634
20566,2411,5057
20565,2411,7082
20564,2411,5127
20563,2411,6067
20562,2411,3359
20561,2411,2730
20560,2411,4453
20558,2411,3804
20557,2411,2874
20571,2411,2709
20523,2411,3557
20559,2411,4749
20521,2411,4401
20487,2411,4811
20486,2411,7054
20522,2411,4091
20485,2411,6938
20484,2411,4216
20483,2411,2703
20482,2411,5428
20480,2411,5297
20479,2411,5526
20478,2411,6446
20477,2411,2547
20476,2411,4725
20475,2411,3321
20488,2411,3306
20474,2411,3504
20472,2411,4184
20471,2411,3505
20470,2411,4498
20469,2411,3847
20468,2411,7027
20467,2411,4497
20466,2411,3493
20465,2411,3845
20464,2411,3056
20463,2411,6655
20462,2411,3487
20461,2411,4082
20460,2411,2726
20473,2411,5586
20489,2411,3204
20481,2411,3160
20491,2411,4666
20520,2411,6991
20519,2411,3144
20518,2411,5406
20517,2411,307
20516,2411,4086
20490,2411,5063
20514,2411,3558
20513,2411,3375
20512,2411,2981
20511,2411,4079
20510,2411,3372
20509,2411,4077
20508,2411,5388
20507,2411,3729
20506,2411,2676
20515,2411,2737
20504,2411,3003
20492,2411,4051
20493,2411,4667
20494,2411,2860
20495,2411,2473
20496,2411,3181
20498,2411,4788
20497,2411,4704
20500,2411,4542
20501,2411,2998
20502,2411,3000
20503,2411,5570
20499,2411,4826
20505,2411,4234
20590,2412,3163
20593,2412,5313
20592,2412,5427
20591,2412,5418
20589,2412,4393
20587,2412,4767
20586,2412,5402
20588,2412,1934
20594,2413,6463
20595,2413,3954
20596,2414,4714
20597,2414,2616
20598,2414,6241
20599,2414,7043
20600,2414,2645
20601,2414,6803
20602,2414,2584
20603,2414,4416
20609,2415,4282
20610,2415,4837
20608,2415,4735
20611,2415,4588
20606,2415,6265
20604,2415,4652
20607,2415,5190
20605,2415,4698
20612,2416,6271
20613,2417,6645
20614,2417,4052
20615,2417,4510
20616,2417,4282
20617,2418,7107
20621,2419,5407
20625,2419,5264
20624,2419,3144
20623,2419,5892
20619,2419,2971
20620,2419,3818
20618,2419,4735
20622,2419,7003
20633,2420,4158
20637,2420,3794
20636,2420,2566
20635,2420,5195
20634,2420,4740
20638,2420,4835
20631,2420,3128
20630,2420,2584
20629,2420,2645
20628,2420,3653
20627,2420,3719
20626,2420,3628
20632,2420,2433
20639,2421,4027
20640,2421,2584
20650,2422,4647
20649,2422,2560
20648,2422,5166
20647,2422,6296
20646,2422,4199
20643,2422,2705
20644,2422,3482
20642,2422,3799
20641,2422,3850
20645,2422,2435
20658,2423,4685
20657,2423,6607
20656,2423,2584
20655,2423,3599
20653,2423,2463
20652,2423,3375
20651,2423,3460
20654,2423,3226
20674,2424,3485
20673,2424,3408
20672,2424,2801
20671,2424,4958
20670,2424,4818
20669,2424,3118
20668,2424,4027
20667,2424,2541
20666,2424,3840
20665,2424,4541
20664,2424,4790
20663,2424,3818
20662,2424,3473
20661,2424,2909
20660,2424,2584
20659,2424,2844
20675,2424,5115
20676,2424,2774
20677,2425,3628
20678,2426,3628
20679,2426,4998
20680,2426,3132
20681,2427,2708
20682,2428,2637
20683,2428,3954
20684,2429,6111
20685,2430,3765
20702,2431,4689
20703,2431,4079
20704,2431,3558
20705,2431,6751
20706,2431,4789
20713,2431,4271
20710,2431,6991
20708,2431,7054
20709,2431,3746
20701,2431,3116
20711,2431,4254
20712,2431,4366
20707,2431,4434
20700,2431,3729
20692,2431,5439
20698,2431,3364
20699,2431,2478
20686,2431,4604
20688,2431,4417
20689,2431,2874
20690,2431,4453
20687,2431,4003
20693,2431,5057
20694,2431,3634
20695,2431,5127
20696,2431,7036
20697,2431,4234
20691,2431,2636
20723,2432,4475
20729,2432,4984
20728,2432,3257
20727,2432,5252
20726,2432,2853
20725,2432,3254
20724,2432,3386
20722,2432,2846
20717,2432,4546
20720,2432,4727
20719,2432,3579
20718,2432,2711
20716,2432,2229
20715,2432,3327
20714,2432,5146
20721,2432,4796
20736,2433,5277
20739,2433,3162
20738,2433,4717
20737,2433,4158
20735,2433,3118
20733,2433,3678
20732,2433,3653
20731,2433,4225
20730,2433,3628
20734,2433,3984
20750,2434,4483
20753,2434,4685
20752,2434,4870
20751,2434,4358
20748,2434,2587
20747,2434,3473
20749,2434,4004
20745,2434,4714
20744,2434,3132
20743,2434,1051
20742,2434,5148
20741,2434,5069
20740,2434,4472
20746,2434,3628
20759,2435,5416
20758,2435,4998
20757,2435,5032
20755,2435,4888
20754,2435,3745
20756,2435,6296
20760,2436,4080
20761,2436,4897
20762,2437,5083
20763,2438,5443
20767,2439,4129
20766,2439,4647
20764,2439,5331
20765,2439,2735
20768,2440,3706
20769,2440,4255
20770,2440,4199
20771,2441,5246
20772,2441,4606
20773,2441,3424
20774,2441,2822
20775,2441,4805
20776,2442,4416
20777,2443,3226
20778,2443,3669
20781,2444,4416
20779,2444,7043
20780,2444,6169
20784,2445,4416
20785,2445,3226
20782,2445,5265
20783,2445,5815
20786,2446,4263
20787,2447,2584
20788,2447,3373
20789,2448,2637
20790,2448,4672
20791,2448,3419
20792,2448,4627
20794,2449,6051
20793,2449,4543
20796,2450,4416
20795,2450,2584
20807,2451,2989
20812,2451,2822
20811,2451,6733
20810,2451,4192
20809,2451,2818
20808,2451,4478
20813,2451,3325
20806,2451,4162
20797,2451,3704
20804,2451,3977
20803,2451,5329
20802,2451,4943
20801,2451,4657
20800,2451,4992
20799,2451,4678
20798,2451,3822
20805,2451,2637
20817,2452,3566
20816,2452,4416
20814,2452,5972
20815,2452,2822
20822,2453,3137
20818,2453,4599
20819,2453,3226
20820,2453,3143
20821,2453,4670
20830,2454,4379
20829,2454,2594
20832,2454,3507
20831,2454,5242
20828,2454,4207
20833,2454,3417
20826,2454,3021
20823,2454,5144
20827,2454,2932
20825,2454,6461
20824,2454,4225
20834,2455,3728
20835,2455,3226
20836,2456,3866
20837,2456,3500
20838,2456,3746
20839,2456,3646
20881,2457,3461
20880,2457,4541
20879,2457,3888
20878,2457,3112
20877,2457,4933
20873,2457,3525
20875,2457,5019
20874,2457,2978
20872,2457,6815
20882,2457,4233
20871,2457,5303
20876,2457,5425
20883,2457,5366
20889,2457,6284
20885,2457,4976
20886,2457,4987
20887,2457,3899
20888,2457,3825
20870,2457,4829
20890,2457,3109
20891,2457,7109
20892,2457,3765
20893,2457,3970
20894,2457,4004
20895,2457,5242
20896,2457,5195
20898,2457,5217
20884,2457,2799
20869,2457,3250
20897,2457,3297
20867,2457,5082
20868,2457,3163
20840,2457,5146
20841,2457,3125
20842,2457,2730
20843,2457,4642
20844,2457,3933
20846,2457,4267
20847,2457,4299
20848,2457,5156
20849,2457,4184
20850,2457,4503
20851,2457,4270
20852,2457,4680
20845,2457,4334
20854,2457,4795
20855,2457,4724
20856,2457,4934
20857,2457,5254
20858,2457,3862
20859,2457,5163
20860,2457,4429
20861,2457,4160
20862,2457,5093
20863,2457,3948
20864,2457,6896
20865,2457,4916
20866,2457,4647
20853,2457,5243
20900,2458,3857
20899,2458,2645
20901,2459,2645
20902,2459,3926
20903,2459,2584
20904,2459,3226
20905,2459,4416
20906,2459,5349
20907,2460,3300
20908,2460,4472
20909,2460,2699
20910,2460,4965
20911,2461,4740
20912,2461,5349
20916,2462,4365
20915,2462,4129
20917,2462,4789
20913,2462,2711
20914,2462,3624
20936,2463,4647
20937,2463,4318
20938,2463,5100
20939,2463,3671
20941,2463,4560
20942,2463,5247
20943,2463,4483
20944,2463,5226
20945,2463,2926
20946,2463,4988
20947,2463,3837
20948,2463,5443
20949,2463,5392
20950,2463,4099
20935,2463,2517
20934,2463,4867
20940,2463,4670
20932,2463,4281
20933,2463,4240
20918,2463,5203
20920,2463,3853
20921,2463,4976
20922,2463,3396
20923,2463,5087
20924,2463,3226
20919,2463,3038
20926,2463,4827
20927,2463,5190
20928,2463,3460
20929,2463,3862
20930,2463,4735
20931,2463,4514
20925,2463,4661
20959,2464,3071
20958,2464,5159
20957,2464,4532
20956,2464,2645
20952,2464,5100
20954,2464,3771
20953,2464,5204
20951,2464,4828
20960,2464,5372
20955,2464,2828
20969,2465,2967
20968,2465,6876
20971,2465,3535
20970,2465,4574
20967,2465,4985
20961,2465,5118
20965,2465,2587
20964,2465,5016
20963,2465,5315
20962,2465,2683
20966,2465,5367
20972,2466,6531
20973,2467,3971
20974,2468,5685
20982,2469,2613
20981,2469,3848
20980,2469,4588
20979,2469,4008
20983,2469,3615
20977,2469,4715
20976,2469,4698
20975,2469,4663
20978,2469,3425
20984,2470,2584
20985,2470,3132
20986,2471,3132
20987,2471,5069
20989,2472,3485
20988,2472,5308
20990,2473,2726
20991,2473,5165
20992,2473,4082
20993,2473,5388
20994,2473,4729
20995,2473,4503
20996,2473,4685
20997,2473,2804
21002,2474,2584
21001,2474,5445
20998,2474,4027
20999,2474,2645
21000,2474,3226
21009,2475,2490
21008,2475,5242
21007,2475,5175
21010,2475,6564
21005,2475,3294
21004,2475,2989
21003,2475,2705
21006,2475,5202
21011,2476,3226
21012,2476,4166
21013,2476,4179
21014,2476,2628
21021,2477,4027
21024,2477,3750
21023,2477,5403
21022,2477,4416
21020,2477,2584
21015,2477,3704
21018,2477,3249
21017,2477,3628
21016,2477,4998
21019,2477,3226
21029,2478,3493
21025,2478,3146
21026,2478,3729
21027,2478,4079
21028,2478,3634
21030,2478,5127
21032,2479,3226
21031,2479,6445
21047,2480,5640
21046,2480,5099
21045,2480,5827
21043,2480,3276
21042,2480,2592
21040,2480,3226
21044,2480,6686
21038,2480,6724
21037,2480,6108
21036,2480,4640
21035,2480,3732
21034,2480,3796
21033,2480,4219
21039,2480,3656
21041,2480,3227
21048,2481,2952
21064,2482,2957
21061,2482,3452
21062,2482,4594
21065,2482,5242
21067,2482,4829
21068,2482,5184
21060,2482,4518
21066,2482,4214
21059,2482,4393
21063,2482,3684
21057,2482,5084
21056,2482,4080
21055,2482,3899
21054,2482,3275
21053,2482,4987
21052,2482,4831
21051,2482,2978
21050,2482,3368
21049,2482,3880
21058,2482,7018
21069,2483,4361
21070,2484,4396
21071,2484,4643
21072,2485,4275
21078,2486,4347
21077,2486,2543
21076,2486,4931
21074,2486,3984
21073,2486,4027
21075,2486,6172
21089,2487,4416
21088,2487,4247
21087,2487,3262
21086,2487,2645
21084,2487,3175
21085,2487,4027
21082,2487,2618
21081,2487,2686
21080,2487,2628
21079,2487,2637
21083,2487,2584
21090,2488,6819
21091,2488,5317
21092,2489,5328
21101,2490,3093
21102,2490,6940
21100,2490,4533
21104,2490,5329
21103,2490,5242
21099,2490,4819
21098,2490,4715
21097,2490,4989
21096,2490,4758
21095,2490,3125
21094,2490,6941
21093,2490,2770
21105,2491,3542
21106,2491,4086
21107,2491,5165
21108,2492,5586
21109,2493,2637
21110,2494,4365
21112,2495,4416
21113,2495,3628
21111,2495,2683
21114,2496,3930
21115,2496,3473
21116,2496,2282
21117,2496,2699
21118,2497,2600
21119,2497,4936
21120,2497,5195
21121,2497,3612
21122,2497,3977
21125,2498,3031
21123,2498,3615
21124,2498,5109
21127,2499,4722
21128,2499,5331
21126,2499,5207
21129,2500,2842
21130,2500,4143
21131,2501,4967
21132,2501,3473
21133,2501,3736
21142,2502,5265
21143,2502,4416
21141,2502,6099
21140,2502,4768
21139,2502,4635
21137,2502,5137
21136,2502,5069
21135,2502,4374
21134,2502,2637
21138,2502,4027
21144,2503,3118
21145,2503,3473
21146,2503,6897
21147,2504,2584
21148,2504,3818
21161,2505,5406
21160,2505,4631
21162,2505,4184
21159,2505,3244
21165,2505,4685
21166,2505,6952
21163,2505,4211
21158,2505,2580
21164,2505,2511
21156,2505,2874
21155,2505,2649
21154,2505,5202
21153,2505,4204
21152,2505,6852
21151,2505,3412
21157,2505,4082
21150,2505,3116
21149,2505,2726
21167,2506,3146
21168,2507,2932
21169,2507,5970
21170,2507,5334
21171,2508,2795
21172,2508,4512
21173,2509,4681
21174,2509,2863
21175,2509,6420
21176,2509,5115
21177,2510,4920
21215,2511,4719
21200,2511,3604
21216,2511,4175
21201,2511,5064
21202,2511,5568
21203,2511,4803
21204,2511,6064
21205,2511,3187
21199,2511,4263
21206,2511,3740
21208,2511,4167
21209,2511,3243
21210,2511,4520
21211,2511,4596
21212,2511,6442
21213,2511,4322
21214,2511,6628
21207,2511,4339
21198,2511,4388
21193,2511,5150
21196,2511,3771
21178,2511,2625
21179,2511,5144
21197,2511,4543
21181,2511,4640
21182,2511,2780
21183,2511,5004
21184,2511,5115
21185,2511,4112
21180,2511,4604
21187,2511,3348
21188,2511,4220
21189,2511,4416
21190,2511,4710
21191,2511,2882
21192,2511,6649
21194,2511,6847
21195,2511,4793
21186,2511,5083
21232,2512,6395
21233,2512,3954
21234,2512,3403
21235,2512,4970
21236,2512,4755
21242,2512,5119
21238,2512,4630
21239,2512,4796
21240,2512,3701
21243,2512,4978
21231,2512,2835
21237,2512,2706
21230,2512,3673
21241,2512,4591
21228,2512,3997
21218,2512,5146
21229,2512,4675
21219,2512,3924
21220,2512,5388
21221,2512,2551
21217,2512,4428
21223,2512,2640
21224,2512,3876
21225,2512,2663
21226,2512,3806
21227,2512,3285
21222,2512,3619
21248,2513,5236
21246,2513,4793
21247,2513,4416
21244,2513,4692
21245,2513,4002
21258,2514,4049
21265,2514,3210
21263,2514,3071
21262,2514,2842
21261,2514,2699
21260,2514,5129
21259,2514,4809
21257,2514,4976
21264,2514,2976
21255,2514,5433
21249,2514,3862
21250,2514,4735
21251,2514,4998
21256,2514,4356
21253,2514,4606
21254,2514,4820
21252,2514,6174
21266,2515,4761
21267,2515,4416
21268,2515,2584
21269,2516,4464
21287,2517,4318
21279,2517,4623
21286,2517,5385
21285,2517,3298
21284,2517,3460
21283,2517,4988
21282,2517,4620
21281,2517,4663
21280,2517,3048
21278,2517,5392
21276,2517,4416
21275,2517,6839
21274,2517,5137
21273,2517,5281
21272,2517,5265
21271,2517,4514
21270,2517,4744
21277,2517,2637
21288,2518,3190
21290,2519,5313
21289,2519,3307
21291,2520,2637
21305,2521,3761
21304,2521,6391
21303,2521,2739
21302,2521,3844
21301,2521,3565
21300,2521,4661
21299,2521,4427
21295,2521,3937
21297,2521,3563
21296,2521,4547
21298,2521,4321
21294,2521,3561
21293,2521,5364
21292,2521,3881
21306,2522,3472
21312,2523,6848
21311,2523,5743
21310,2523,4715
21313,2523,1830
21308,2523,4633
21307,2523,5409
21309,2523,3137
21314,2524,4673
21315,2524,4597
21316,2525,6447
21317,2525,3216
21318,2525,5119
21337,2526,2822
21331,2526,3650
21332,2526,4209
21336,2526,4416
21334,2526,5815
21335,2526,5267
21329,2526,2584
21333,2526,5268
21328,2526,3552
21330,2526,7105
21326,2526,3128
21325,2526,4240
21324,2526,3491
21323,2526,5083
21322,2526,3664
21321,2526,4606
21320,2526,6472
21319,2526,5295
21327,2526,3583
21338,2527,4513
21339,2527,3559
21340,2528,4938
21341,2528,3307
21342,2528,5166
21343,2528,4914
21344,2529,4735
21345,2530,5385
21346,2531,3859
21347,2531,5196
21374,2532,4828
21375,2532,5169
21372,2532,4778
21371,2532,3857
21370,2532,3810
21369,2532,3132
21368,2532,5424
21367,2532,2853
21366,2532,4049
21365,2532,2564
21364,2532,4661
21363,2532,3071
21362,2532,5156
21373,2532,4896
21360,2532,3109
21348,2532,3862
21349,2532,5162
21350,2532,5242
21351,2532,6961
21352,2532,5978
21353,2532,4627
21361,2532,3628
21355,2532,4207
21356,2532,3995
21357,2532,4821
21358,2532,4379
21359,2532,3953
21354,2532,5069
21376,2533,2726
21377,2533,3315
21378,2533,5428
21379,2534,3545
21390,2535,4631
21389,2535,5085
21388,2535,5191
21387,2535,3473
21386,2535,4292
21384,2535,3527
21383,2535,3909
21382,2535,6796
21381,2535,3074
21380,2535,4062
21385,2535,7108
21391,2536,4717
21392,2536,3761
21401,2537,4785
21405,2537,3054
21406,2537,3920
21403,2537,2926
21402,2537,2137
21399,2537,3577
21404,2537,3700
21400,2537,4383
21397,2537,3695
21396,2537,6111
21395,2537,3412
21394,2537,4998
21393,2537,2637
21398,2537,2723
21407,2538,5087
21410,2539,3342
21408,2539,2842
21409,2539,3992
21411,2540,4138
21412,2540,4641
21413,2540,4998
21414,2541,4027
21415,2541,3840
21416,2542,5088
21417,2542,3160
21419,2543,6672
21418,2543,2686
21420,2544,4998
21421,2544,2757
21422,2544,3132
21423,2545,2867
21429,2546,3461
21433,2546,3761
21432,2546,4416
21431,2546,4104
21430,2546,4984
21427,2546,5061
21426,2546,3745
21425,2546,4163
21424,2546,4049
21428,2546,5391
21441,2547,2906
21442,2547,3558
21445,2547,4685
21444,2547,3436
21443,2547,7090
21440,2547,3818
21439,2547,2584
21437,2547,4216
21436,2547,5428
21435,2547,3729
21434,2547,2726
21438,2547,3709
21472,2548,5418
21473,2548,2551
21474,2548,4240
21475,2548,3120
21476,2548,2805
21477,2548,3997
21479,2548,4796
21480,2548,2760
21481,2548,2566
21482,2548,4908
21484,2548,4126
21471,2548,4428
21485,2548,5106
21486,2548,5103
21487,2548,4403
21488,2548,4466
21489,2548,5278
21490,2548,3701
21491,2548,5430
21492,2548,5003
21493,2548,5269
21483,2548,4252
21470,2548,5256
21478,2548,3419
21468,2548,6564
21469,2548,5402
21446,2548,3123
21448,2548,3575
21449,2548,3576
21450,2548,3515
21451,2548,2575
21452,2548,5316
21453,2548,3756
21454,2548,3806
21455,2548,4998
21456,2548,4334
21447,2548,4447
21458,2548,4712
21459,2548,4575
21460,2548,6430
21461,2548,3403
21462,2548,4415
21463,2548,4630
21464,2548,6884
21465,2548,5146
21457,2548,3977
21466,2548,5293
21467,2548,4510
21496,2549,2842
21497,2549,4998
21494,2549,3706
21495,2549,5400
21498,2550,4027
21499,2550,5134
21500,2550,2645
21501,2550,5352
21502,2550,2584
21503,2551,2882
21510,2552,3080
21509,2552,4177
21508,2552,5586
21504,2552,2947
21506,2552,3137
21505,2552,4998
21511,2552,4240
21507,2552,6129
21519,2553,4981
21518,2553,4027
21520,2553,7004
21521,2553,3495
21517,2553,2584
21513,2553,4717
21515,2553,3411
21514,2553,4171
21512,2553,4998
21516,2553,5399
21522,2554,5586
21523,2555,2566
21524,2555,3163
21525,2555,3048
21526,2555,3475
21527,2555,5227
21528,2555,6348
21529,2555,3233
21530,2555,6422
21534,2556,5083
21533,2556,4550
21532,2556,5405
21531,2556,5165
21535,2557,2757
21536,2558,5024
21537,2558,3842
21538,2558,4416
21539,2559,4051
21540,2559,4650
21541,2559,5412
21542,2559,3771
21543,2560,3628
21544,2560,6296
21545,2561,3563
21546,2562,4232
21547,2562,3743
21549,2563,3628
21548,2563,5095
21559,2564,4564
21550,2564,4063
21551,2564,4220
21552,2564,3404
21553,2564,2873
21554,2564,4163
21555,2564,4039
21556,2564,4413
21557,2564,4487
21558,2564,3461
21560,2565,6065
21590,2566,5195
21589,2566,5136
21588,2566,3120
21583,2566,5253
21586,2566,2975
21585,2566,5364
21584,2566,3118
21591,2566,4796
21587,2566,2711
21592,2566,2716
21599,2566,4607
21595,2566,6941
21596,2566,3954
21597,2566,3563
21598,2566,5333
21600,2566,6334
21601,2566,5278
21602,2566,5307
21603,2566,3794
21593,2566,7091
21582,2566,3521
21594,2566,4209
21580,2566,4688
21561,2566,5145
21562,2566,5146
21563,2566,5019
21564,2566,3576
21565,2566,4020
21566,2566,3108
21567,2566,3844
21568,2566,4334
21569,2566,2987
21581,2566,5226
21571,2566,4675
21572,2566,3937
21573,2566,3024
21574,2566,4752
21575,2566,2643
21576,2566,4789
21577,2566,4680
21578,2566,5024
21579,2566,4754
21570,2566,4299
21604,2567,224
21605,2568,5650
21606,2568,5130
21607,2569,3348
21608,2570,4998
21610,2571,3793
21609,2571,4027
21626,2572,5372
21625,2572,3071
21624,2572,3636
21623,2572,7056
21622,2572,4950
21621,2572,2637
21620,2572,4805
21619,2572,5579
21618,2572,4247
21616,2572,5137
21615,2572,4999
21614,2572,3015
21613,2572,4678
21612,2572,2776
21611,2572,5387
21617,2572,3519
21629,2573,5346
21627,2573,2970
21628,2573,3521
21630,2574,2637
21631,2574,3196
21632,2574,3842
21633,2574,4423
21647,2575,4193
21646,2575,5242
21645,2575,4418
21644,2575,3850
21643,2575,4250
21641,2575,2880
21642,2575,3722
21638,2575,2805
21637,2575,3123
21636,2575,5389
21635,2575,3799
21634,2575,2705
21640,2575,3999
21639,2575,3977
21661,2576,6696
21659,2576,3268
21660,2576,2719
21650,2576,3371
21663,2576,4659
21664,2576,6348
21658,2576,6917
21662,2576,5050
21657,2576,5391
21648,2576,4998
21655,2576,4588
21654,2576,7065
21653,2576,5316
21652,2576,3579
21651,2576,2698
21649,2576,3575
21656,2576,4356
21665,2577,2748
21666,2578,3843
21674,2579,2709
21673,2579,4559
21676,2579,4457
21675,2579,3944
21672,2579,3583
21670,2579,3512
21669,2579,6829
21668,2579,5638
21667,2579,3152
21671,2579,3062
21704,2580,6138
21693,2580,3271
21694,2580,3771
21695,2580,4603
21696,2580,3984
21698,2580,4416
21700,2580,4606
21692,2580,3424
21701,2580,4406
21702,2580,4897
21703,2580,3638
21699,2580,3015
21691,2580,4459
21697,2580,2949
21689,2580,3363
21688,2580,2637
21687,2580,3183
21686,2580,3354
21685,2580,3501
21684,2580,4495
21677,2580,3842
21683,2580,3972
21682,2580,4138
21681,2580,5033
21680,2580,4586
21679,2580,4584
21678,2580,4998
21690,2580,4002
21707,2581,3848
21706,2581,3518
21705,2581,5144
21708,2582,4552
21709,2582,4996
21710,2583,2637
21855,2584,5831
21856,2584,7023
21857,2584,4815
21935,2584,6649
21858,2584,5432
21859,2584,4227
21860,2584,3184
21863,2584,3774
21861,2584,5444
21862,2584,5127
21864,2584,3903
